"Client Dealer ID","Dealer Name","State","Assigned Rep","Current Demand Bucket","Pattern Type","Urgency Status","Confidence Score %","Post-Visit Lift %","Organic Ratio %","2025+ Visits","2025+ Applications","2025+ Approvals","2025+ Approval Rate %","2025+ Booked Loans","2025+ Booked Volume ($)","2025+ Look-To-Book %","2025+ Yield Per Visit ($)","Last Visit Date","Days Since Last Visit","Last App Date","Days Since Last App","Last Booked Date","Days Since Last Booked","Last 90D Apps (Summer 2026)","Last 90D Bookings","Last 90D Booked Volume ($)","Last 180D Apps (2026 YTD)","Last 180D Bookings","Last 180D Booked Volume ($)","Current Activity Recency Status","Decision Rationale & Flags"
"TX569","RGV RV SALES - TX569","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","55","45","0","308","77","25","53","2584559.1300000004","17","0","Never","Never","2026-08-19","2","2026-08-19","2","123","25","1305297.2700000003","209","44","2229820.16","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($2.58M across 53 deals) with only 2 lifetime visits. | 45% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX267","Texas Trader RV - TX267","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","42","58","9","470","79","17","42","1723919.6000000006","9","191547","2025-04-08","499","2026-08-19","2","2026-08-17","4","48","7","372851.83","125","9","433665.87000000005","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.72M across 42 deals) with only 11 lifetime visits. | 58% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL340","LDRV of Tampa - FL340","FL","Ward Stoutimore","HIGH_TLC","strategic_tlc","on_track","98","100","0","0","369","75","20","57","3117579.159999999","15","0","Never","Never","2026-08-19","2","2026-08-18","3","136","20","965502.7899999999","266","36","1787503.13","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $3.12M in funded volume across 57 deals with 100% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
"AL161","Alabama Campers Tuscaloosa-AL161","AL","Jeff Smith","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","42","58","12","188","57","30","41","1390965.1299999994","22","115914","2025-08-18","367","2026-08-20","1","2026-08-19","2","44","14","521714.01","96","21","779327.4699999999","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.39M across 41 deals) with only 14 lifetime visits. | 58% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL163","Optimum RV Bushnell - FL163","FL","Ward Stoutimore","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","58","42","15","142","21","15","16","882492.92","11","58833","2025-10-09","315","2026-08-20","1","2026-08-10","11","28","4","168057.00999999998","54","7","339825.52999999997","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($882K across 16 deals) with only 19 lifetime visits. | 42% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX420","BLUE COMPASS RV - FT WORTH - TX420","TX","George Ott","COMFORT_STOP","underwriting_friction","not_monitored","98","52","48","51","174","25","14","16","797912.17","9","15645","2025-11-05","288","2026-08-17","4","2026-07-30","22","25","4","192529.4","84","11","548935.19","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 54 in-person visits and successfully generated 174 application submissions. | Why this rule applied: 174 apps submitted but only 16 booked ($798K volume) due to low conversion (14% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"TX522","Blue Compass RV - Austin - TX522","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","87","10","90","12","149","16","11","12","659759.0700000001","8","54980","2025-05-01","476","2026-08-20","1","2026-08-15","6","74","6","248558.84","115","7","388412.91000000003","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 87%). | Rooftop generates steady, high-volume funded loans organically ($660K across 12 deals) with only 13 lifetime visits. | 90% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX244","Fun Town RV Houston LLC -TX244","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","39","61","48","508","125","25","79","3897071.220000001","16","81189","2025-08-12","373","2026-08-20","1","2026-06-09","73","51","1","14000","119","3","91474.78","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($3.90M across 79 deals) with only 51 lifetime visits. | 61% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"WA107","KITSAP RV - WA107","WA","Larry Jablonoski","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","N/A","0","0","19","0","0","0","0","0","0","2024-08-16","734","2026-06-27","55","2024-10-28","662","1","0","0","7","0","0","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($0K across 0 deals) with only 0 lifetime visit. | 0% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX460","BLUE COMPASS RV - ROCKPORT - TX460","TX","George Ott","COMFORT_STOP","underwriting_friction","not_monitored","98","34","66","12","84","11","13","9","358703.92","11","29892","2025-07-08","408","2026-08-16","5","2026-06-21","61","16","2","68178.46","47","6","232912.73","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 15 in-person visits and successfully generated 84 application submissions. | Why this rule applied: 84 apps submitted but only 9 booked ($359K volume) due to low conversion (13% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"FL164","Optimum RV Zephyr Hills - FL164","FL","Ward Stoutimore","COMFORT_STOP","underwriting_friction","not_monitored","98","43","57","13","189","23","12","7","347028.33","4","26694","2025-12-01","262","2026-08-18","3","2026-05-30","83","24","1","97666.64","67","1","97666.64","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 17 in-person visits and successfully generated 189 application submissions. | Why this rule applied: 189 apps submitted but only 7 booked ($347K volume) due to low conversion (12% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"TX536","Rock Solid Funding LLC - TX536","TX","S1 House","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","0","100","0","4249","986","23","380","17147652.659999993","9","0","Never","Never","2026-08-20","1","2026-08-19","2","725","53","2429671.3999999994","1252","81","3482372.31","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($17.15M across 380 deals) with only 0 lifetime visit. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL300","Blue Compass - Fort Myers - FL300","FL","Ward Stoutimore","HIGH_TLC","strategic_tlc","overdue","98","91","9","8","202","38","19","28","1290125.2300000002","14","161266","2025-10-07","317","2026-08-20","1","2026-08-11","10","67","11","521866.0999999999","142","24","1160765.26","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $1.29M in funded volume across 28 deals with 91% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch. | ⚠️ Flag: Fading TLC detected — dollar yield per visit dropped >40% over sequential cycles. Investigate F&I manager turnover or competitor pressure."
"AR126","Fun Town RV - Little Rock - AR126","AR","Jeff Weller","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","0","100","0","441","101","23","59","3157249.03","13","0","Never","Never","2026-08-20","1","2026-08-14","7","76","10","513150.17000000004","127","15","794114.1","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($3.16M across 59 deals) with only 0 lifetime visit. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"AL170","Blue Compass - Mobile - AL170","AL","Jeff Smith","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","51","49","0","187","20","11","14","584764.57","7","0","Never","Never","2026-08-20","1","2026-08-10","11","71","5","297943.35","143","12","546586.86","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($585K across 14 deals) with only 4 lifetime visits. | 49% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"NV117","Johnnie Walker RV - NV117","NV","Larry Jablonoski","COMFORT_STOP","underwriting_friction","not_monitored","98","72","28","1","50","7","14","5","244789.16000000003","10","244789","2025-10-29","295","2026-08-19","2","2026-07-24","28","15","3","135907.73","38","3","135907.73","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 7 in-person visits and successfully generated 50 application submissions. | Why this rule applied: 50 apps submitted but only 5 booked ($245K volume) due to low conversion (14% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"NCA114","DISCOVER RV - NCA114","CA","John Rubi","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","82","24","76","4","88","15","17","7","283312.99","8","70828","2025-08-21","364","2026-08-10","11","2026-07-13","39","12","3","125419.72","33","4","148317.92","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 82%). | Rooftop generates steady, high-volume funded loans organically ($283K across 7 deals) with only 8 lifetime visits. | 76% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL237","General RV - Ocala - FL237","FL","Pam Carter","HIGH_TLC","strategic_tlc","overdue","98","72","28","15","115","17","15","10","754498.2000000001","9","50300","2025-11-20","273","2026-08-19","2","2026-07-17","35","31","1","62409","61","4","244203.16999999998","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $754K in funded volume across 10 deals with 72% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
"TX552","Blue Compass RV - Tyler - TX552","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","46","54","1","213","26","12","21","850724.0300000001","10","850724","2025-11-19","274","2026-08-20","1","2026-08-18","3","91","13","549322.71","150","16","632803.81","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($851K across 21 deals) with only 4 lifetime visits. | 54% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX108","Fun Town RV - Cleburne -TX108","TX","S1 House","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","13","87","51","1163","418","36","293","16883100.170000013","25","331041","2025-03-19","519","2026-08-20","1","2026-08-20","1","147","44","2266229.7799999993","325","80","4269191.92","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($16.88M across 293 deals) with only 52 lifetime visits. | 87% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"NM112","Blue Compass RV - Albuquerque - NM112","NM","Ericka Dominguez","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","92","0","100","0","174","21","12","17","579447.34","10","0","Never","Never","2026-08-20","1","2026-08-14","7","78","12","480874.31999999995","146","16","557555.84","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 92%). | Rooftop generates steady, high-volume funded loans organically ($579K across 17 deals) with only 0 lifetime visit. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"SCA155","Giant RV - Montclair - SCA155","CA","John Rubi","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","65","57","43","9","123","22","18","13","732529.4400000001","11","81392","2025-10-13","311","2026-08-18","3","2026-08-10","11","34","5","271724.9","60","10","651208.0900000001","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 65%). | Rooftop generates steady, high-volume funded loans organically ($733K across 13 deals) with only 16 lifetime visits. | 43% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"VA117","General RV - Richmond - VA117","VA","Jeff Smith","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","9","91","24","214","35","16","27","1590893.5399999998","13","66287","2025-08-11","374","2026-08-20","1","2026-08-10","11","69","9","535194.38","130","19","1012224.8099999998","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.59M across 27 deals) with only 26 lifetime visits. | 91% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL314","La Mesa RV Center - Port St Lucie - FL314","FL","Pam Carter","HIGH_TLC","strategic_tlc","due_soon","98","72","28","0","93","15","16","9","911472.7600000001","10","0","Never","Never","2026-08-14","7","2026-06-23","59","30","2","126567.76999999999","47","4","391875.54000000004","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $911K in funded volume across 9 deals with 72% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch. | ⚠️ Flag: Fading TLC detected — dollar yield per visit dropped >40% over sequential cycles. Investigate F&I manager turnover or competitor pressure."
"NH100","CAMPERS INN OF KINGSTON - NH100","NH","Genevieve Coulombe","HIGH_TLC","strategic_tlc","on_track","98","93","7","18","110","32","29","18","955648.7999999999","16","53092","2025-11-04","289","2026-08-19","2","2026-08-19","2","19","2","157112.43","50","4","223295.12","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $956K in funded volume across 18 deals with 93% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
"TX327","Fun Town RV Dallas -TX327","TX","George Ott","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","5","95","0","282","91","32","64","3059178.130000001","23","0","2024-12-02","626","2026-08-19","2","2026-07-29","23","42","13","816316.7200000001","93","18","1071763.4600000002","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($3.06M across 64 deals) with only 1 lifetime visit. | 95% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"ID123","Blue Compass RV - Post Falls - ID123","ID","Larry Jablonoski","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","82","18","82","0","73","9","12","7","390987.37","10","0","Never","Never","2026-08-10","11","2026-07-29","23","24","2","79304.44","44","4","230745.66","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 82%). | Rooftop generates steady, high-volume funded loans organically ($391K across 7 deals) with only 2 lifetime visits. | 82% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"FL175","GIANT RECREATION WORLD PALM BAY - FL175","FL","Pam Carter","COMFORT_STOP","underwriting_friction","not_monitored","98","45","55","23","106","21","20","13","705306.11","12","30665","2025-11-17","276","2026-08-19","2","2026-08-15","6","27","5","230209.30000000002","40","7","296140.24","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 29 in-person visits and successfully generated 106 application submissions. | Why this rule applied: 106 apps submitted but only 13 booked ($705K volume) due to low conversion (20% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"EMO101","Whites Marine Center - EMO101","MO","S1 House","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","0","100","0","81","31","38","22","606229","27","0","Never","Never","2026-07-20","32","2026-07-13","39","10","3","70692","25","7","190063","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($606K across 22 deals) with only 0 lifetime visit. | 100% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TX167","Camperland Trailer Sales Inc -TX167","TX","George Ott","COMFORT_STOP","underwriting_friction","not_monitored","98","64","36","24","80","11","14","6","251133.83999999997","8","10464","2025-08-14","371","2026-08-15","6","2026-07-14","38","22","3","110515.48999999999","41","4","125149.9","Active (Last 90D)","Classified as Underwriting / Credit Box Review (Confidence 98%). | Field rep logged 27 in-person visits and successfully generated 80 application submissions. | Why this rule applied: 80 apps submitted but only 6 booked ($251K volume) due to low conversion (14% approved). Rep is driving dealership adoption, but applicant credit tier requires lender review. | Recommendation: Do not penalize sales rep. Coordinate with Underwriting / Lender Management to review credit tier guidelines."
"CT104","HI-WAY CAMPERS INC - CT104","CT","Genevieve Coulombe","HIGH_TLC","strategic_tlc","on_track","98","95","5","10","117","40","34","28","1250913.9299999997","24","125091","2025-08-13","372","2026-08-20","1","2026-07-20","32","32","11","422279.49000000005","58","15","663413.1900000001","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $1.25M in funded volume across 28 deals with 95% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch. | ⚠️ Flag: Fading TLC detected — dollar yield per visit dropped >40% over sequential cycles. Investigate F&I manager turnover or competitor pressure."
"KY121","DAY BROS AUTO and RV SALES - KY121","KY","Janet Harrington","SELF_SUFFICIENT","autonomous_locomotive","self_sufficient","95","30","70","1","138","32","23","29","1346798.9399999997","21","1346799","2025-11-20","273","2026-08-15","6","2026-07-28","24","22","7","202450.27999999997","60","12","375594.63999999996","Active (Last 90D)","Classified as Self-Sufficient / Autonomous (Confidence 95%). | Rooftop generates steady, high-volume funded loans organically ($1.35M across 29 deals) with only 6 lifetime visits. | 70% of funded loan volume occurred without a recent sales visit. | Why this rule applied: High organic baseline proves dealer utilizes portal independently. | Recommendation: Deprioritize in-person road trips. Maintain via quarterly digital/phone check-in."
"TN159","Blue Compass RV - Knoxville - TN159","TN","Jeff Smith","HIGH_TLC","strategic_tlc","overdue","98","70","30","0","154","30","19","24","1157962.19","16","0","Never","Never","2026-08-18","3","2026-08-12","9","67","11","656359.1699999999","119","15","871727.8699999999","Active (Last 90D)","Classified as Strategic High TLC (Confidence 98%). | High-Volume Enterprise Account: $1.16M in funded volume across 24 deals with 70% generated directly inside visit windows. | Why this rule applied: High revenue magnitude justifies proactive regular field maintenance to protect core production. | Recommendation: Maintain continuous 30–45 day executive relationship touch."
